,State,Year,Categories,Gender,Total
55,Andaman and Nicobar,2006,Financial issues,Male,2
56,Andaman and Nicobar,2006,Others Causes,Female,16
57,Andaman and Nicobar,2006,Others Causes,Male,48
58,Andaman and Nicobar,2006,Relation Troubles,Female,2
59,Andaman and Nicobar,2006,Relation Troubles,Male,3
60,Andaman and Nicobar,2006,Sickness,Female,19
61,Andaman and Nicobar,2006,Sickness,Male,43
62,Andaman and Nicobar,2007,Causes Not known,Male,4
63,Andaman and Nicobar,2007,Financial issues,Female,1
64,Andaman and Nicobar,2007,Financial issues,Male,5
65,Andaman and Nicobar,2007,Others Causes,Female,26
66,Andaman and Nicobar,2007,Others Causes,Male,44
67,Andaman and Nicobar,2007,Pressures of Society,Female,7
68,Andaman and Nicobar,2007,Pressures of Society,Male,4
69,Andaman and Nicobar,2007,Relation Troubles,Female,6
70,Andaman and Nicobar,2007,Relation Troubles,Male,10
71,Andaman and Nicobar,2007,Sickness,Female,16
72,Andaman and Nicobar,2007,Sickness,Male,33
73,Andaman and Nicobar,2008,Causes Not known,Female,6
74,Andaman and Nicobar,2008,Causes Not known,Male,20
75,Andaman and Nicobar,2008,Financial issues,Male,5
76,Andaman and Nicobar,2008,Others Causes,Female,17
77,Andaman and Nicobar,2008,Others Causes,Male,23
78,Andaman and Nicobar,2008,Pressures of Society,Male,1
79,Andaman and Nicobar,2008,Relation Troubles,Female,4
80,Andaman and Nicobar,2008,Relation Troubles,Male,11
81,Andaman and Nicobar,2008,Sickness,Female,18
82,Andaman and Nicobar,2008,Sickness,Male,38
83,Andaman and Nicobar,2009,Causes Not known,Female,6
84,Andaman and Nicobar,2009,Causes Not known,Male,25
85,Andaman and Nicobar,2009,Others Causes,Female,21
86,Andaman and Nicobar,2009,Others Causes,Male,28
87,Andaman and Nicobar,2009,Pressures of Society,Female,1
88,Andaman and Nicobar,2009,Relation Troubles,Female,2
89,Andaman and Nicobar,2009,Relation Troubles,Male,3
90,Andaman and Nicobar,2009,Sickness,Female,15
91,Andaman and Nicobar,2009,Sickness,Male,30
92,Andaman and Nicobar,2010,Causes Not known,Female,5
93,Andaman and Nicobar,2010,Causes Not known,Male,16
94,Andaman and Nicobar,2010,Financial issues,Female,1
95,Andaman and Nicobar,2010,Financial issues,Male,7
96,Andaman and Nicobar,2010,Others Causes,Female,19
97,Andaman and Nicobar,2010,Others Causes,Male,43
98,Andaman and Nicobar,2010,Relation Troubles,Female,6
99,Andaman and Nicobar,2010,Relation Troubles,Male,7
100,Andaman and Nicobar,2010,Sickness,Female,13
101,Andaman and Nicobar,2010,Sickness,Male,39
102,Andaman and Nicobar,2011,Causes Not known,Female,10
103,Andaman and Nicobar,2011,Causes Not known,Male,29
104,Andaman and Nicobar,2011,Financial issues,Male,3
105,Andaman and Nicobar,2011,Others Causes,Female,11
106,Andaman and Nicobar,2011,Others Causes,Male,20
107,Andaman and Nicobar,2011,Pressures of Society,Female,1
108,Andaman and Nicobar,2011,Pressures of Society,Male,2
109,Andaman and Nicobar,2011,Relation Troubles,Female,6
110,Andaman and Nicobar,2011,Relation Troubles,Male,10
111,Andaman and Nicobar,2011,Sickness,Female,14
112,Andaman and Nicobar,2011,Sickness,Male,30
113,Andaman and Nicobar,2012,Causes Not known,Female,8
114,Andaman and Nicobar,2012,Causes Not known,Male,13
115,Andaman and Nicobar,2012,Financial issues,Female,1
116,Andaman and Nicobar,2012,Financial issues,Male,4
117,Andaman and Nicobar,2012,Others Causes,Female,19
118,Andaman and Nicobar,2012,Others Causes,Male,20
119,Andaman and Nicobar,2012,Relation Troubles,Female,1
120,Andaman and Nicobar,2012,Relation Troubles,Male,5
121,Andaman and Nicobar,2012,Sickness,Female,12
122,Andaman and Nicobar,2012,Sickness,Male,38
123,Andhra Pradesh,2001,Causes Not known,Female,341
124,Andhra Pradesh,2001,Causes Not known,Male,677
125,Andhra Pradesh,2001,Drug Abuse/Addiction,Female,2
126,Andhra Pradesh,2001,Drug Abuse/Addiction,Male,23
127,Andhra Pradesh,2001,Financial issues,Female,202
128,Andhra Pradesh,2001,Financial issues,Male,662
129,Andhra Pradesh,2001,Others Causes,Female,500
130,Andhra Pradesh,2001,Others Causes,Male,960
131,Andhra Pradesh,2001,Physical Abuse (Rape/Incest Etc.),Female,44
132,Andhra Pradesh,2001,Physical Abuse (Rape/Incest Etc.),Male,12
133,Andhra Pradesh,2001,Pressures of Society,Female,105
134,Andhra Pradesh,2001,Pressures of Society,Male,163
135,Andhra Pradesh,2001,Relation Troubles,Female,1436
136,Andhra Pradesh,2001,Relation Troubles,Male,1572
137,Andhra Pradesh,2001,Sickness,Female,1513
138,Andhra Pradesh,2001,Sickness,Male,2310
139,Andhra Pradesh,2002,Causes Not known,Female,250
140,Andhra Pradesh,2002,Causes Not known,Male,657
141,Andhra Pradesh,2002,Drug Abuse/Addiction,Female,1
142,Andhra Pradesh,2002,Drug Abuse/Addiction,Male,18
143,Andhra Pradesh,2002,Financial issues,Female,178
144,Andhra Pradesh,2002,Financial issues,Male,863
145,Andhra Pradesh,2002,Others Causes,Female,812
146,Andhra Pradesh,2002,Others Causes,Male,1222
147,Andhra Pradesh,2002,Physical Abuse (Rape/Incest Etc.),Female,8
148,Andhra Pradesh,2002,Physical Abuse (Rape/Incest Etc.),Male,22
149,Andhra Pradesh,2002,Pressures of Society,Female,106
150,Andhra Pradesh,2002,Pressures of Society,Male,201
151,Andhra Pradesh,2002,Relation Troubles,Female,1272
152,Andhra Pradesh,2002,Relation Troubles,Male,1733
153,Andhra Pradesh,2002,Sickness,Female,1495
154,Andhra Pradesh,2002,Sickness,Male,2855
155,Andhra Pradesh,2003,Causes Not known,Female,222
156,Andhra Pradesh,2003,Causes Not known,Male,592
157,Andhra Pradesh,2003,Drug Abuse/Addiction,Male,31
158,Andhra Pradesh,2003,Financial issues,Female,236
159,Andhra Pradesh,2003,Financial issues,Male,1031
160,Andhra Pradesh,2003,Others Causes,Female,425
161,Andhra Pradesh,2003,Others Causes,Male,1266
162,Andhra Pradesh,2003,Physical Abuse (Rape/Incest Etc.),Female,19
163,Andhra Pradesh,2003,Physical Abuse (Rape/Incest Etc.),Male,31
164,Andhra Pradesh,2003,Pressures of Society,Female,161
165,Andhra Pradesh,2003,Pressures of Society,Male,263
166,Andhra Pradesh,2003,Relation Troubles,Female,1415
167,Andhra Pradesh,2003,Relation Troubles,Male,1867
168,Andhra Pradesh,2003,Sickness,Female,1418
169,Andhra Pradesh,2003,Sickness,Male,2432
170,Andhra Pradesh,2004,Causes Not known,Female,245
171,Andhra Pradesh,2004,Causes Not known,Male,731
172,Andhra Pradesh,2004,Drug Abuse/Addiction,Female,5
173,Andhra Pradesh,2004,Drug Abuse/Addiction,Male,47
174,Andhra Pradesh,2004,Financial issues,Female,442
175,Andhra Pradesh,2004,Financial issues,Male,2176
176,Andhra Pradesh,2004,Others Causes,Female,637
177,Andhra Pradesh,2004,Others Causes,Male,1591
178,Andhra Pradesh,2004,Physical Abuse (Rape/Incest Etc.),Female,20
179,Andhra Pradesh,2004,Physical Abuse (Rape/Incest Etc.),Male,3
180,Andhra Pradesh,2004,Pressures of Society,Female,90
181,Andhra Pradesh,2004,Pressures of Society,Male,160
182,Andhra Pradesh,2004,Relation Troubles,Female,1472
183,Andhra Pradesh,2004,Relation Troubles,Male,2026
184,Andhra Pradesh,2004,Sickness,Female,1533
185,Andhra Pradesh,2004,Sickness,Male,2348
186,Andhra Pradesh,2005,Causes Not known,Female,211
187,Andhra Pradesh,2005,Causes Not known,Male,620
188,Andhra Pradesh,2005,Drug Abuse/Addiction,Female,2
189,Andhra Pradesh,2005,Drug Abuse/Addiction,Male,17
190,Andhra Pradesh,2005,Financial issues,Female,382
191,Andhra Pradesh,2005,Financial issues,Male,1901
192,Andhra Pradesh,2005,Others Causes,Female,624
193,Andhra Pradesh,2005,Others Causes,Male,1776
194,Andhra Pradesh,2005,Physical Abuse (Rape/Incest Etc.),Female,3
195,Andhra Pradesh,2005,Physical Abuse (Rape/Incest Etc.),Male,2
196,Andhra Pradesh,2005,Pressures of Society,Female,118
197,Andhra Pradesh,2005,Pressures of Society,Male,168
198,Andhra Pradesh,2005,Relation Troubles,Female,1466
199,Andhra Pradesh,2005,Relation Troubles,Male,1904
200,Andhra Pradesh,2005,Sickness,Female,1771
201,Andhra Pradesh,2005,Sickness,Male,2477
202,Andhra Pradesh,2006,Causes Not known,Female,188
203,Andhra Pradesh,2006,Causes Not known,Male,725
204,Andhra Pradesh,2006,Drug Abuse/Addiction,Female,1
205,Andhra Pradesh,2006,Drug Abuse/Addiction,Male,41
206,Andhra Pradesh,2006,Financial issues,Female,419
207,Andhra Pradesh,2006,Financial issues,Male,1930
208,Andhra Pradesh,2006,Others Causes,Female,744
209,Andhra Pradesh,2006,Others Causes,Male,1429
210,Andhra Pradesh,2006,Physical Abuse (Rape/Incest Etc.),Female,5
211,Andhra Pradesh,2006,Physical Abuse (Rape/Incest Etc.),Male,4
212,Andhra Pradesh,2006,Pressures of Society,Female,113
213,Andhra Pradesh,2006,Pressures of Society,Male,156
214,Andhra Pradesh,2006,Relation Troubles,Female,1307
215,Andhra Pradesh,2006,Relation Troubles,Male,2004
216,Andhra Pradesh,2006,Sickness,Female,1636
217,Andhra Pradesh,2006,Sickness,Male,2574
218,Andhra Pradesh,2007,Causes Not known,Female,378
219,Andhra Pradesh,2007,Causes Not known,Male,871
220,Andhra Pradesh,2007,Drug Abuse/Addiction,Female,4
221,Andhra Pradesh,2007,Drug Abuse/Addiction,Male,41
222,Andhra Pradesh,2007,Financial issues,Female,446
223,Andhra Pradesh,2007,Financial issues,Male,2197
224,Andhra Pradesh,2007,Others Causes,Female,886
225,Andhra Pradesh,2007,Others Causes,Male,1721
226,Andhra Pradesh,2007,Physical Abuse (Rape/Incest Etc.),Female,8
227,Andhra Pradesh,2007,Physical Abuse (Rape/Incest Etc.),Male,5
228,Andhra Pradesh,2007,Pressures of Society,Female,116
229,Andhra Pradesh,2007,Pressures of Society,Male,160
230,Andhra Pradesh,2007,Relation Troubles,Female,1315
231,Andhra Pradesh,2007,Relation Troubles,Male,2105
232,Andhra Pradesh,2007,Sickness,Female,1780
233,Andhra Pradesh,2007,Sickness,Male,2849
234,Andhra Pradesh,2008,Causes Not known,Female,164
235,Andhra Pradesh,2008,Causes Not known,Male,604
236,Andhra Pradesh,2008,Drug Abuse/Addiction,Female,3
237,Andhra Pradesh,2008,Drug Abuse/Addiction,Male,47
238,Andhra Pradesh,2008,Financial issues,Female,505
239,Andhra Pradesh,2008,Financial issues,Male,2074
240,Andhra Pradesh,2008,Others Causes,Female,900
241,Andhra Pradesh,2008,Others Causes,Male,2062
242,Andhra Pradesh,2008,Physical Abuse (Rape/Incest Etc.),Female,1
243,Andhra Pradesh,2008,Pressures of Society,Female,83
244,Andhra Pradesh,2008,Pressures of Society,Male,206
245,Andhra Pradesh,2008,Relation Troubles,Female,1274
246,Andhra Pradesh,2008,Relation Troubles,Male,2028
247,Andhra Pradesh,2008,Sickness,Female,1703
248,Andhra Pradesh,2008,Sickness,Male,2700
249,Andhra Pradesh,2009,Causes Not known,Female,215
250,Andhra Pradesh,2009,Causes Not known,Male,775
251,Andhra Pradesh,2009,Drug Abuse/Addiction,Female,3
252,Andhra Pradesh,2009,Drug Abuse/Addiction,Male,74
253,Andhra Pradesh,2009,Financial issues,Female,534
254,Andhra Pradesh,2009,Financial issues,Male,2370
255,Andhra Pradesh,2009,Others Causes,Female,921
256,Andhra Pradesh,2009,Others Causes,Male,1791
257,Andhra Pradesh,2009,Physical Abuse (Rape/Incest Etc.),Female,1
258,Andhra Pradesh,2009,Physical Abuse (Rape/Incest Etc.),Male,3
259,Andhra Pradesh,2009,Pressures of Society,Female,141
260,Andhra Pradesh,2009,Pressures of Society,Male,296
261,Andhra Pradesh,2009,Relation Troubles,Female,1276
262,Andhra Pradesh,2009,Relation Troubles,Male,1931
263,Andhra Pradesh,2009,Sickness,Female,1522
264,Andhra Pradesh,2009,Sickness,Male,2647
265,Andhra Pradesh,2010,Causes Not known,Female,426
266,Andhra Pradesh,2010,Causes Not known,Male,1336
267,Andhra Pradesh,2010,Drug Abuse/Addiction,Female,8
268,Andhra Pradesh,2010,Drug Abuse/Addiction,Male,96
269,Andhra Pradesh,2010,Financial issues,Female,468
270,Andhra Pradesh,2010,Financial issues,Male,2234
271,Andhra Pradesh,2010,Others Causes,Female,759
272,Andhra Pradesh,2010,Others Causes,Male,1677
273,Andhra Pradesh,2010,Physical Abuse (Rape/Incest Etc.),Female,2
274,Andhra Pradesh,2010,Pressures of Society,Female,180
275,Andhra Pradesh,2010,Pressures of Society,Male,331
276,Andhra Pradesh,2010,Relation Troubles,Female,1317
277,Andhra Pradesh,2010,Relation Troubles,Male,2222
278,Andhra Pradesh,2010,Sickness,Female,1794
279,Andhra Pradesh,2010,Sickness,Male,3051
280,Andhra Pradesh,2011,Causes Not known,Female,395
281,Andhra Pradesh,2011,Causes Not known,Male,1124
282,Andhra Pradesh,2011,Drug Abuse/Addiction,Female,11
283,Andhra Pradesh,2011,Drug Abuse/Addiction,Male,115
284,Andhra Pradesh,2011,Financial issues,Female,528
285,Andhra Pradesh,2011,Financial issues,Male,2273
286,Andhra Pradesh,2011,Others Causes,Female,573
287,Andhra Pradesh,2011,Others Causes,Male,1657
288,Andhra Pradesh,2011,Physical Abuse (Rape/Incest Etc.),Female,4
289,Andhra Pradesh,2011,Pressures of Society,Female,102
290,Andhra Pradesh,2011,Pressures of Society,Male,125
291,Andhra Pradesh,2011,Relation Troubles,Female,1727
292,Andhra Pradesh,2011,Relation Troubles,Male,2289
293,Andhra Pradesh,2011,Sickness,Female,1617
294,Andhra Pradesh,2011,Sickness,Male,2537
295,Andhra Pradesh,2012,Causes Not known,Female,286
296,Andhra Pradesh,2012,Causes Not known,Male,930
297,Andhra Pradesh,2012,Drug Abuse/Addiction,Female,13
298,Andhra Pradesh,2012,Drug Abuse/Addiction,Male,151
299,Andhra Pradesh,2012,Financial issues,Female,510
300,Andhra Pradesh,2012,Financial issues,Male,2063
301,Andhra Pradesh,2012,Others Causes,Female,622
302,Andhra Pradesh,2012,Others Causes,Male,1485
303,Andhra Pradesh,2012,Physical Abuse (Rape/Incest Etc.),Female,36
304,Andhra Pradesh,2012,Pressures of Society,Female,109
305,Andhra Pradesh,2012,Pressures of Society,Male,192
306,Andhra Pradesh,2012,Relation Troubles,Female,1452
307,Andhra Pradesh,2012,Relation Troubles,Male,2157
308,Andhra Pradesh,2012,Sickness,Female,1683
309,Andhra Pradesh,2012,Sickness,Male,2549
310,Arunachal Pradesh,2001,Causes Not known,Female,22
311,Arunachal Pradesh,2001,Causes Not known,Male,69
312,Arunachal Pradesh,2001,Financial issues,Female,4
313,Arunachal Pradesh,2001,Financial issues,Male,4
314,Arunachal Pradesh,2001,Relation Troubles,Female,8
315,Arunachal Pradesh,2001,Relation Troubles,Male,1
316,Arunachal Pradesh,2001,Sickness,Female,1
317,Arunachal Pradesh,2001,Sickness,Male,2
318,Arunachal Pradesh,2002,Causes Not known,Female,34
319,Arunachal Pradesh,2002,Causes Not known,Male,56
320,Arunachal Pradesh,2002,Financial issues,Female,2
321,Arunachal Pradesh,2002,Financial issues,Male,1
322,Arunachal Pradesh,2002,Pressures of Society,Female,1
323,Arunachal Pradesh,2002,Pressures of Society,Male,1
324,Arunachal Pradesh,2002,Relation Troubles,Female,6
325,Arunachal Pradesh,2002,Relation Troubles,Male,8
326,Arunachal Pradesh,2002,Sickness,Male,5
327,Arunachal Pradesh,2003,Causes Not known,Female,21
328,Arunachal Pradesh,2003,Causes Not known,Male,48
329,Arunachal Pradesh,2003,Drug Abuse/Addiction,Female,1
330,Arunachal Pradesh,2003,Relation Troubles,Female,3
331,Arunachal Pradesh,2003,Relation Troubles,Male,3
332,Arunachal Pradesh,2003,Sickness,Female,2
333,Arunachal Pradesh,2003,Sickness,Male,3
334,Arunachal Pradesh,2004,Causes Not known,Female,25
335,Arunachal Pradesh,2004,Causes Not known,Male,48
336,Arunachal Pradesh,2004,Drug Abuse/Addiction,Male,1
337,Arunachal Pradesh,2004,Financial issues,Female,2
338,Arunachal Pradesh,2004,Relation Troubles,Female,2
339,Arunachal Pradesh,2004,Sickness,Female,1
340,Arunachal Pradesh,2005,Causes Not known,Female,18
341,Arunachal Pradesh,2005,Causes Not known,Male,41
342,Arunachal Pradesh,2005,Pressures of Society,Female,1
343,Arunachal Pradesh,2005,Relation Troubles,Female,2
344,Arunachal Pradesh,2005,Relation Troubles,Male,6
345,Arunachal Pradesh,2005,Sickness,Male,2
346,Arunachal Pradesh,2006,Causes Not known,Female,20
347,Arunachal Pradesh,2006,Causes Not known,Male,45
348,Arunachal Pradesh,2006,Others Causes,Female,2
349,Arunachal Pradesh,2006,Others Causes,Male,38
350,Arunachal Pradesh,2006,Pressures of Society,Female,1
351,Arunachal Pradesh,2006,Relation Troubles,Female,9
352,Arunachal Pradesh,2006,Relation Troubles,Male,12
353,Arunachal Pradesh,2006,Sickness,Female,1
354,Arunachal Pradesh,2006,Sickness,Male,1
355,Arunachal Pradesh,2007,Causes Not known,Female,7
356,Arunachal Pradesh,2007,Causes Not known,Male,22
357,Arunachal Pradesh,2007,Financial issues,Female,2
358,Arunachal Pradesh,2007,Financial issues,Male,16
359,Arunachal Pradesh,2007,Others Causes,Female,20
360,Arunachal Pradesh,2007,Others Causes,Male,49
361,Arunachal Pradesh,2007,Relation Troubles,Female,2
362,Arunachal Pradesh,2007,Relation Troubles,Male,5
363,Arunachal Pradesh,2007,Sickness,Male,6
364,Arunachal Pradesh,2008,Causes Not known,Female,28
365,Arunachal Pradesh,2008,Causes Not known,Male,41
366,Arunachal Pradesh,2008,Others Causes,Male,27
367,Arunachal Pradesh,2008,Pressures of Society,Female,1
368,Arunachal Pradesh,2008,Relation Troubles,Female,4
369,Arunachal Pradesh,2008,Relation Troubles,Male,5
370,Arunachal Pradesh,2008,Sickness,Male,4
371,Arunachal Pradesh,2009,Causes Not known,Female,28
372,Arunachal Pradesh,2009,Causes Not known,Male,41
373,Arunachal Pradesh,2009,Others Causes,Male,27
374,Arunachal Pradesh,2009,Pressures of Society,Female,1
375,Arunachal Pradesh,2009,Relation Troubles,Female,4
376,Arunachal Pradesh,2009,Relation Troubles,Male,5
377,Arunachal Pradesh,2009,Sickness,Male,4
378,Arunachal Pradesh,2010,Causes Not known,Female,18
379,Arunachal Pradesh,2010,Causes Not known,Male,34
380,Arunachal Pradesh,2010,Financial issues,Male,3
381,Arunachal Pradesh,2010,Others Causes,Female,15
382,Arunachal Pradesh,2010,Others Causes,Male,42
383,Arunachal Pradesh,2010,Relation Troubles,Female,7
384,Arunachal Pradesh,2010,Relation Troubles,Male,9
385,Arunachal Pradesh,2010,Sickness,Male,3
386,Arunachal Pradesh,2011,Causes Not known,Female,18
387,Arunachal Pradesh,2011,Causes Not known,Male,58
388,Arunachal Pradesh,2011,Drug Abuse/Addiction,Male,1
389,Arunachal Pradesh,2011,Financial issues,Female,1
390,Arunachal Pradesh,2011,Financial issues,Male,1
391,Arunachal Pradesh,2011,Others Causes,Female,9
392,Arunachal Pradesh,2011,Others Causes,Male,22
393,Arunachal Pradesh,2011,Relation Troubles,Female,6
394,Arunachal Pradesh,2011,Relation Troubles,Male,11
395,Arunachal Pradesh,2011,Sickness,Female,1
396,Arunachal Pradesh,2011,Sickness,Male,6
397,Arunachal Pradesh,2012,Causes Not known,Female,18
398,Arunachal Pradesh,2012,Causes Not known,Male,53
399,Arunachal Pradesh,2012,Financial issues,Male,5
400,Arunachal Pradesh,2012,Others Causes,Female,7
401,Arunachal Pradesh,2012,Others Causes,Male,27
402,Arunachal Pradesh,2012,Relation Troubles,Female,5
403,Arunachal Pradesh,2012,Relation Troubles,Male,8
404,Arunachal Pradesh,2012,Sickness,Male,7
405,Assam,2001,Causes Not known,Female,247
406,Assam,2001,Causes Not known,Male,451
407,Assam,2001,Drug Abuse/Addiction,Male,8
408,Assam,2001,Financial issues,Female,117
409,Assam,2001,Financial issues,Male,582
410,Assam,2001,Others Causes,Female,66
411,Assam,2001,Others Causes,Male,164
412,Assam,2001,Physical Abuse (Rape/Incest Etc.),Male,6
413,Assam,2001,Pressures of Society,Female,36
414,Assam,2001,Pressures of Society,Male,72
415,Assam,2001,Relation Troubles,Female,293
416,Assam,2001,Relation Troubles,Male,445
417,Assam,2001,Sickness,Female,52
418,Assam,2001,Sickness,Male,108
419,Assam,2002,Causes Not known,Female,209
420,Assam,2002,Causes Not known,Male,377
421,Assam,2002,Drug Abuse/Addiction,Female,10
422,Assam,2002,Drug Abuse/Addiction,Male,19
423,Assam,2002,Financial issues,Female,107
424,Assam,2002,Financial issues,Male,507
425,Assam,2002,Others Causes,Female,71
426,Assam,2002,Others Causes,Male,145
427,Assam,2002,Physical Abuse (Rape/Incest Etc.),Female,3
428,Assam,2002,Physical Abuse (Rape/Incest Etc.),Male,1
429,Assam,2002,Pressures of Society,Female,36
430,Assam,2002,Pressures of Society,Male,58
431,Assam,2002,Relation Troubles,Female,292
432,Assam,2002,Relation Troubles,Male,416
433,Assam,2002,Sickness,Female,80
434,Assam,2002,Sickness,Male,179
435,Assam,2003,Causes Not known,Female,237
436,Assam,2003,Causes Not known,Male,561
437,Assam,2003,Drug Abuse/Addiction,Female,1
438,Assam,2003,Drug Abuse/Addiction,Male,5
439,Assam,2003,Financial issues,Female,102
440,Assam,2003,Financial issues,Male,314
441,Assam,2003,Others Causes,Female,129
442,Assam,2003,Others Causes,Male,200
443,Assam,2003,Pressures of Society,Female,45
444,Assam,2003,Pressures of Society,Male,77
445,Assam,2003,Relation Troubles,Female,362
446,Assam,2003,Relation Troubles,Male,404
447,Assam,2003,Sickness,Female,44
448,Assam,2003,Sickness,Male,115
449,Assam,2004,Causes Not known,Female,230
450,Assam,2004,Causes Not known,Male,535
451,Assam,2004,Financial issues,Female,145
452,Assam,2004,Financial issues,Male,550
453,Assam,2004,Others Causes,Female,95
454,Assam,2004,Others Causes,Male,146
455,Assam,2004,Physical Abuse (Rape/Incest Etc.),Female,1
456,Assam,2004,Pressures of Society,Female,52
457,Assam,2004,Pressures of Society,Male,64
458,Assam,2004,Relation Troubles,Female,320
459,Assam,2004,Relation Troubles,Male,509
460,Assam,2004,Sickness,Female,51
461,Assam,2004,Sickness,Male,141
462,Assam,2005,Causes Not known,Female,200
463,Assam,2005,Causes Not known,Male,590
464,Assam,2005,Drug Abuse/Addiction,Female,6
465,Assam,2005,Drug Abuse/Addiction,Male,3
466,Assam,2005,Financial issues,Female,101
467,Assam,2005,Financial issues,Male,404
468,Assam,2005,Others Causes,Female,64
469,Assam,2005,Others Causes,Male,167
470,Assam,2005,Physical Abuse (Rape/Incest Etc.),Female,5
471,Assam,2005,Physical Abuse (Rape/Incest Etc.),Male,8
472,Assam,2005,Pressures of Society,Female,63
473,Assam,2005,Pressures of Society,Male,85
474,Assam,2005,Relation Troubles,Female,388
475,Assam,2005,Relation Troubles,Male,475
476,Assam,2005,Sickness,Female,68
477,Assam,2005,Sickness,Male,219
478,Assam,2006,Causes Not known,Female,266
479,Assam,2006,Causes Not known,Male,649
480,Assam,2006,Financial issues,Female,103
481,Assam,2006,Financial issues,Male,379
482,Assam,2006,Others Causes,Female,60
483,Assam,2006,Others Causes,Male,125
484,Assam,2006,Physical Abuse (Rape/Incest Etc.),Female,1
485,Assam,2006,Physical Abuse (Rape/Incest Etc.),Male,1
486,Assam,2006,Pressures of Society,Female,57
487,Assam,2006,Pressures of Society,Male,76
488,Assam,2006,Relation Troubles,Female,355
489,Assam,2006,Relation Troubles,Male,685
490,Assam,2006,Sickness,Female,73
491,Assam,2006,Sickness,Male,201
492,Assam,2007,Causes Not known,Female,304
493,Assam,2007,Causes Not known,Male,744
494,Assam,2007,Drug Abuse/Addiction,Male,1
495,Assam,2007,Financial issues,Female,96
496,Assam,2007,Financial issues,Male,322
497,Assam,2007,Others Causes,Female,56
498,Assam,2007,Others Causes,Male,192
499,Assam,2007,Physical Abuse (Rape/Incest Etc.),Female,5
500,Assam,2007,Physical Abuse (Rape/Incest Etc.),Male,38
501,Assam,2007,Pressures of Society,Female,49
502,Assam,2007,Pressures of Society,Male,70
503,Assam,2007,Relation Troubles,Female,350
504,Assam,2007,Relation Troubles,Male,527
505,Assam,2007,Sickness,Female,86
506,Assam,2007,Sickness,Male,222
507,Assam,2008,Causes Not known,Female,251
508,Assam,2008,Causes Not known,Male,637
509,Assam,2008,Drug Abuse/Addiction,Female,2
510,Assam,2008,Drug Abuse/Addiction,Male,15
511,Assam,2008,Financial issues,Female,136
512,Assam,2008,Financial issues,Male,327
513,Assam,2008,Others Causes,Female,75
