,State,Year,Type_code,Type,Gender,Age_group,Total,Categories
258,A & N Islands,2001,Causes,Other Causes (Please Specity),Male,60+,2,Others Causes
570,A & N Islands,2002,Causes,Family Problems,Female,0-14,1,Relation Troubles
587,A & N Islands,2002,Causes,Failure in Examination,Female,0-14,1,Pressures of Society
602,A & N Islands,2002,Causes,Failure in Examination,Male,0-14,1,Pressures of Society
612,A & N Islands,2002,Causes,Family Problems,Male,0-14,1,Relation Troubles
614,A & N Islands,2002,Causes,Family Problems,Female,15-29,11,Relation Troubles
619,A & N Islands,2002,Causes,Causes Not known,Female,15-29,7,Causes Not known
629,A & N Islands,2002,Causes,Other Causes (Please Specity),Female,15-29,2,Others Causes
633,A & N Islands,2002,Causes,Other Prolonged Illness,Female,15-29,2,Sickness
635,A & N Islands,2002,Causes,Failure in Examination,Female,15-29,1,Pressures of Society
637,A & N Islands,2002,Causes,Love Affairs,Female,15-29,1,Relation Troubles
639,A & N Islands,2002,Causes,Insanity/Mental Illness,Female,15-29,4,Sickness
642,A & N Islands,2002,Causes,Other Prolonged Illness,Male,15-29,3,Sickness
643,A & N Islands,2002,Causes,Insanity/Mental Illness,Male,15-29,2,Sickness
646,A & N Islands,2002,Causes,Other Causes (Please Specity),Male,15-29,4,Others Causes
647,A & N Islands,2002,Causes,Family Problems,Male,15-29,3,Relation Troubles
648,A & N Islands,2002,Causes,Love Affairs,Male,15-29,4,Relation Troubles
653,A & N Islands,2002,Causes,Causes Not known,Male,15-29,10,Causes Not known
654,A & N Islands,2002,Causes,Unemployment,Male,15-29,1,Financial issues
669,A & N Islands,2002,Causes,Other Prolonged Illness,Female,30-44,5,Sickness
671,A & N Islands,2002,Causes,Causes Not known,Female,30-44,2,Causes Not known
679,A & N Islands,2002,Causes,Family Problems,Female,30-44,1,Relation Troubles
686,A & N Islands,2002,Causes,Other Causes (Please Specity),Female,30-44,3,Others Causes
688,A & N Islands,2002,Causes,Insanity/Mental Illness,Female,30-44,1,Sickness
689,A & N Islands,2002,Causes,Love Affairs,Female,30-44,2,Relation Troubles
697,A & N Islands,2002,Causes,Family Problems,Male,30-44,4,Relation Troubles
698,A & N Islands,2002,Causes,Love Affairs,Male,30-44,1,Relation Troubles
706,A & N Islands,2002,Causes,Causes Not known,Male,30-44,9,Causes Not known
711,A & N Islands,2002,Causes,Other Causes (Please Specity),Male,30-44,2,Others Causes
712,A & N Islands,2002,Causes,Other Prolonged Illness,Male,30-44,5,Sickness
716,A & N Islands,2002,Causes,Insanity/Mental Illness,Male,30-44,7,Sickness
723,A & N Islands,2002,Causes,Insanity/Mental Illness,Female,45-59,1,Sickness
728,A & N Islands,2002,Causes,Family Problems,Female,45-59,1,Relation Troubles
729,A & N Islands,2002,Causes,Causes Not known,Female,45-59,1,Causes Not known
736,A & N Islands,2002,Causes,Other Prolonged Illness,Female,45-59,1,Sickness
738,A & N Islands,2002,Causes,Death of Dear Person,Female,45-59,1,Relation Troubles
741,A & N Islands,2002,Causes,Other Causes (Please Specity),Female,45-59,1,Others Causes
747,A & N Islands,2002,Causes,Causes Not known,Male,45-59,3,Causes Not known
750,A & N Islands,2002,Causes,Insanity/Mental Illness,Male,45-59,2,Sickness
755,A & N Islands,2002,Causes,Other Causes (Please Specity),Male,45-59,7,Others Causes
757,A & N Islands,2002,Causes,Family Problems,Male,45-59,3,Relation Troubles
763,A & N Islands,2002,Causes,Other Prolonged Illness,Male,45-59,6,Sickness
774,A & N Islands,2002,Causes,Other Prolonged Illness,Female,60+,1,Sickness
785,A & N Islands,2002,Causes,Insanity/Mental Illness,Female,60+,1,Sickness
792,A & N Islands,2002,Causes,Causes Not known,Female,60+,1,Causes Not known
801,A & N Islands,2002,Causes,Insanity/Mental Illness,Male,60+,2,Sickness
802,A & N Islands,2002,Causes,Other Prolonged Illness,Male,60+,6,Sickness
812,A & N Islands,2002,Causes,Other Causes (Please Specity),Male,60+,2,Others Causes
814,A & N Islands,2002,Causes,Death of Dear Person,Male,60+,1,Relation Troubles
819,A & N Islands,2002,Causes,Causes Not known,Male,60+,2,Causes Not known
1121,A & N Islands,2003,Causes,Family Problems,Female,0-14,1,Relation Troubles
1130,A & N Islands,2003,Causes,Causes Not known,Female,0-14,1,Causes Not known
1135,A & N Islands,2003,Causes,Death of Dear Person,Female,0-14,1,Relation Troubles
1140,A & N Islands,2003,Causes,Other Causes (Please Specity),Female,0-14,1,Others Causes
1145,A & N Islands,2003,Causes,Fall in Social Reputation,Male,0-14,1,Pressures of Society
1174,A & N Islands,2003,Causes,Suspected/Illicit Relation,Female,15-29,1,Relation Troubles
1177,A & N Islands,2003,Causes,Cancellation/Non-Settlement of Marriage,Female,15-29,1,Relation Troubles
1179,A & N Islands,2003,Causes,Love Affairs,Female,15-29,2,Relation Troubles
1180,A & N Islands,2003,Causes,Not having Children(Barrenness/Impotency,Female,15-29,1,Relation Troubles
1186,A & N Islands,2003,Causes,Other Prolonged Illness,Female,15-29,4,Sickness
1188,A & N Islands,2003,Causes,Family Problems,Female,15-29,9,Relation Troubles
1189,A & N Islands,2003,Causes,Other Causes (Please Specity),Female,15-29,2,Others Causes
1190,A & N Islands,2003,Causes,Causes Not known,Female,15-29,5,Causes Not known
1196,A & N Islands,2003,Causes,Insanity/Mental Illness,Female,15-29,3,Sickness
1197,A & N Islands,2003,Causes,Family Problems,Male,15-29,5,Relation Troubles
1198,A & N Islands,2003,Causes,Other Causes (Please Specity),Male,15-29,5,Others Causes
1199,A & N Islands,2003,Causes,Other Prolonged Illness,Male,15-29,1,Sickness
1210,A & N Islands,2003,Causes,Poverty,Male,15-29,1,Financial issues
1212,A & N Islands,2003,Causes,Causes Not known,Male,15-29,3,Causes Not known
1213,A & N Islands,2003,Causes,Love Affairs,Male,15-29,6,Relation Troubles
1217,A & N Islands,2003,Causes,Fall in Social Reputation,Male,15-29,1,Pressures of Society
1220,A & N Islands,2003,Causes,Failure in Examination,Male,15-29,1,Pressures of Society
1225,A & N Islands,2003,Causes,Causes Not known,Female,30-44,1,Causes Not known
1228,A & N Islands,2003,Causes,Family Problems,Female,30-44,1,Relation Troubles
1242,A & N Islands,2003,Causes,Other Prolonged Illness,Female,30-44,3,Sickness
1243,A & N Islands,2003,Causes,Fall in Social Reputation,Female,30-44,1,Pressures of Society
1244,A & N Islands,2003,Causes,Other Causes (Please Specity),Female,30-44,2,Others Causes
1252,A & N Islands,2003,Causes,Insanity/Mental Illness,Male,30-44,4,Sickness
1255,A & N Islands,2003,Causes,Other Causes (Please Specity),Male,30-44,5,Others Causes
1259,A & N Islands,2003,Causes,Causes Not known,Male,30-44,3,Causes Not known
1260,A & N Islands,2003,Causes,Poverty,Male,30-44,2,Financial issues
1264,A & N Islands,2003,Causes,Family Problems,Male,30-44,4,Relation Troubles
1267,A & N Islands,2003,Causes,Cancellation/Non-Settlement of Marriage,Male,30-44,1,Relation Troubles
1270,A & N Islands,2003,Causes,Other Prolonged Illness,Male,30-44,3,Sickness
1271,A & N Islands,2003,Causes,Fall in Social Reputation,Male,30-44,1,Pressures of Society
1277,A & N Islands,2003,Causes,Other Prolonged Illness,Female,45-59,2,Sickness
1310,A & N Islands,2003,Causes,Causes Not known,Male,45-59,5,Causes Not known
1311,A & N Islands,2003,Causes,Family Problems,Male,45-59,1,Relation Troubles
1313,A & N Islands,2003,Causes,Insanity/Mental Illness,Male,45-59,1,Sickness
1316,A & N Islands,2003,Causes,Other Causes (Please Specity),Male,45-59,2,Others Causes
1322,A & N Islands,2003,Causes,Other Prolonged Illness,Male,45-59,8,Sickness
1336,A & N Islands,2003,Causes,Insanity/Mental Illness,Female,60+,1,Sickness
1353,A & N Islands,2003,Causes,Causes Not known,Male,60+,2,Causes Not known
1360,A & N Islands,2003,Causes,Other Prolonged Illness,Male,60+,2,Sickness
1363,A & N Islands,2003,Causes,Family Problems,Male,60+,1,Relation Troubles
1370,A & N Islands,2003,Causes,Other Causes (Please Specity),Male,60+,1,Others Causes
1680,A & N Islands,2004,Causes,Family Problems,Female,0-14,1,Relation Troubles
1731,A & N Islands,2004,Causes,Love Affairs,Female,15-29,1,Relation Troubles
1733,A & N Islands,2004,Causes,Causes Not known,Female,15-29,5,Causes Not known
1734,A & N Islands,2004,Causes,Death of Dear Person,Female,15-29,1,Relation Troubles
1735,A & N Islands,2004,Causes,Family Problems,Female,15-29,4,Relation Troubles
1736,A & N Islands,2004,Causes,Professional/Career Problem,Female,15-29,4,Financial issues
1739,A & N Islands,2004,Causes,Unemployment,Female,15-29,1,Financial issues
1740,A & N Islands,2004,Causes,Insanity/Mental Illness,Female,15-29,1,Sickness
1745,A & N Islands,2004,Causes,Paralysis,Female,15-29,1,Sickness
1746,A & N Islands,2004,Causes,Other Prolonged Illness,Female,15-29,3,Sickness
1750,A & N Islands,2004,Causes,Failure in Examination,Female,15-29,2,Pressures of Society
1755,A & N Islands,2004,Causes,Other Causes (Please Specity),Male,15-29,1,Others Causes
1757,A & N Islands,2004,Causes,Unemployment,Male,15-29,5,Financial issues
1759,A & N Islands,2004,Causes,Professional/Career Problem,Male,15-29,2,Financial issues
1760,A & N Islands,2004,Causes,Insanity/Mental Illness,Male,15-29,6,Sickness
1763,A & N Islands,2004,Causes,Causes Not known,Male,15-29,5,Causes Not known
1764,A & N Islands,2004,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,1,Financial issues
1767,A & N Islands,2004,Causes,Love Affairs,Male,15-29,4,Relation Troubles
1769,A & N Islands,2004,Causes,Family Problems,Male,15-29,2,Relation Troubles
1772,A & N Islands,2004,Causes,Suspected/Illicit Relation,Male,15-29,1,Relation Troubles
1775,A & N Islands,2004,Causes,Poverty,Male,15-29,2,Financial issues
1777,A & N Islands,2004,Causes,Failure in Examination,Male,15-29,3,Pressures of Society
1778,A & N Islands,2004,Causes,Other Prolonged Illness,Male,15-29,2,Sickness
1783,A & N Islands,2004,Causes,Other Prolonged Illness,Female,30-44,6,Sickness
1791,A & N Islands,2004,Causes,Family Problems,Female,30-44,3,Relation Troubles
1793,A & N Islands,2004,Causes,Other Causes (Please Specity),Female,30-44,2,Others Causes
1802,A & N Islands,2004,Causes,Insanity/Mental Illness,Female,30-44,2,Sickness
1805,A & N Islands,2004,Causes,Other Prolonged Illness,Male,30-44,4,Sickness
1809,A & N Islands,2004,Causes,Other Causes (Please Specity),Male,30-44,4,Others Causes
1810,A & N Islands,2004,Causes,Professional/Career Problem,Male,30-44,1,Financial issues
1812,A & N Islands,2004,Causes,Death of Dear Person,Male,30-44,1,Relation Troubles
1813,A & N Islands,2004,Causes,Divorce,Male,30-44,1,Relation Troubles
1814,A & N Islands,2004,Causes,Love Affairs,Male,30-44,1,Relation Troubles
1817,A & N Islands,2004,Causes,Family Problems,Male,30-44,3,Relation Troubles
1827,A & N Islands,2004,Causes,Causes Not known,Male,30-44,4,Causes Not known
1828,A & N Islands,2004,Causes,Insanity/Mental Illness,Male,30-44,5,Sickness
1831,A & N Islands,2004,Causes,Other Prolonged Illness,Female,45-59,1,Sickness
1833,A & N Islands,2004,Causes,Cancer,Female,45-59,1,Sickness
1841,A & N Islands,2004,Causes,Family Problems,Female,45-59,1,Relation Troubles
1868,A & N Islands,2004,Causes,Poverty,Male,45-59,2,Financial issues
1870,A & N Islands,2004,Causes,Causes Not known,Male,45-59,2,Causes Not known
1871,A & N Islands,2004,Causes,Family Problems,Male,45-59,1,Relation Troubles
1878,A & N Islands,2004,Causes,Other Prolonged Illness,Male,45-59,6,Sickness
1880,A & N Islands,2004,Causes,Insanity/Mental Illness,Male,45-59,3,Sickness
1896,A & N Islands,2004,Causes,Other Prolonged Illness,Female,60+,1,Sickness
1910,A & N Islands,2004,Causes,Causes Not known,Male,60+,1,Causes Not known
1913,A & N Islands,2004,Causes,Cancer,Male,60+,1,Sickness
1920,A & N Islands,2004,Causes,Other Prolonged Illness,Male,60+,4,Sickness
1925,A & N Islands,2004,Causes,Insanity/Mental Illness,Male,60+,1,Sickness
1926,A & N Islands,2004,Causes,Property Dispute,Male,60+,1,Financial issues
1928,A & N Islands,2004,Causes,Other Causes (Please Specity),Male,60+,1,Others Causes
2249,A & N Islands,2005,Causes,Causes Not known,Female,0-14,1,Causes Not known
2254,A & N Islands,2005,Causes,Other Causes (Please Specity),Female,0-14,2,Others Causes
2266,A & N Islands,2005,Causes,Other Causes (Please Specity),Male,0-14,4,Others Causes
2272,A & N Islands,2005,Causes,Love Affairs,Male,0-14,1,Relation Troubles
2292,A & N Islands,2005,Causes,Other Prolonged Illness,Female,15-29,6,Sickness
2298,A & N Islands,2005,Causes,Failure in Examination,Female,15-29,3,Pressures of Society
2299,A & N Islands,2005,Causes,Causes Not known,Female,15-29,3,Causes Not known
2300,A & N Islands,2005,Causes,Insanity/Mental Illness,Female,15-29,2,Sickness
2307,A & N Islands,2005,Causes,Other Causes (Please Specity),Female,15-29,13,Others Causes
2319,A & N Islands,2005,Causes,Other Causes (Please Specity),Male,15-29,5,Others Causes
2322,A & N Islands,2005,Causes,Causes Not known,Male,15-29,6,Causes Not known
2326,A & N Islands,2005,Causes,Other Prolonged Illness,Male,15-29,1,Sickness
2328,A & N Islands,2005,Causes,Insanity/Mental Illness,Male,15-29,2,Sickness
2333,A & N Islands,2005,Causes,Death of Dear Person,Male,15-29,1,Relation Troubles
2344,A & N Islands,2005,Causes,Family Problems,Female,30-44,1,Relation Troubles
2352,A & N Islands,2005,Causes,Other Causes (Please Specity),Female,30-44,2,Others Causes
2353,A & N Islands,2005,Causes,Insanity/Mental Illness,Female,30-44,2,Sickness
2355,A & N Islands,2005,Causes,Other Prolonged Illness,Female,30-44,2,Sickness
2360,A & N Islands,2005,Causes,Causes Not known,Female,30-44,1,Causes Not known
2366,A & N Islands,2005,Causes,Love Affairs,Male,30-44,2,Relation Troubles
2367,A & N Islands,2005,Causes,Poverty,Male,30-44,2,Financial issues
2370,A & N Islands,2005,Causes,Family Problems,Male,30-44,1,Relation Troubles
2378,A & N Islands,2005,Causes,Insanity/Mental Illness,Male,30-44,4,Sickness
2379,A & N Islands,2005,Causes,Other Prolonged Illness,Male,30-44,3,Sickness
2384,A & N Islands,2005,Causes,Other Causes (Please Specity),Male,30-44,10,Others Causes
2385,A & N Islands,2005,Causes,Causes Not known,Male,30-44,2,Causes Not known
2391,A & N Islands,2005,Causes,Property Dispute,Female,45-59,1,Financial issues
2398,A & N Islands,2005,Causes,Other Prolonged Illness,Female,45-59,4,Sickness
2402,A & N Islands,2005,Causes,Causes Not known,Female,45-59,1,Causes Not known
2410,A & N Islands,2005,Causes,Other Causes (Please Specity),Female,45-59,2,Others Causes
2411,A & N Islands,2005,Causes,Insanity/Mental Illness,Female,45-59,2,Sickness
2418,A & N Islands,2005,Causes,Other Causes (Please Specity),Male,45-59,5,Others Causes
2424,A & N Islands,2005,Causes,Other Prolonged Illness,Male,45-59,7,Sickness
2425,A & N Islands,2005,Causes,Insanity/Mental Illness,Male,45-59,2,Sickness
2430,A & N Islands,2005,Causes,Causes Not known,Male,45-59,10,Causes Not known
2437,A & N Islands,2005,Causes,Poverty,Male,45-59,1,Financial issues
2456,A & N Islands,2005,Causes,Other Prolonged Illness,Female,60+,4,Sickness
2462,A & N Islands,2005,Causes,Insanity/Mental Illness,Female,60+,1,Sickness
2475,A & N Islands,2005,Causes,Other Causes (Please Specity),Male,60+,3,Others Causes
2478,A & N Islands,2005,Causes,Family Problems,Male,60+,1,Relation Troubles
2484,A & N Islands,2005,Causes,Insanity/Mental Illness,Male,60+,1,Sickness
2493,A & N Islands,2005,Causes,Other Prolonged Illness,Male,60+,10,Sickness
2494,A & N Islands,2005,Causes,Causes Not known,Male,60+,2,Causes Not known
2816,A & N Islands,2006,Causes,Love Affairs,Female,0-14,1,Relation Troubles
2829,A & N Islands,2006,Causes,Other Causes (Please Specity),Male,0-14,4,Others Causes
2846,A & N Islands,2006,Causes,Other Causes (Please Specity),Female,15-29,11,Others Causes
2847,A & N Islands,2006,Causes,Other Prolonged Illness,Female,15-29,9,Sickness
2859,A & N Islands,2006,Causes,Love Affairs,Female,15-29,1,Relation Troubles
2871,A & N Islands,2006,Causes,Other Causes (Please Specity),Male,15-29,15,Others Causes
2879,A & N Islands,2006,Causes,Love Affairs,Male,15-29,1,Relation Troubles
2880,A & N Islands,2006,Causes,Other Prolonged Illness,Male,15-29,2,Sickness
2884,A & N Islands,2006,Causes,Insanity/Mental Illness,Male,15-29,1,Sickness
2885,A & N Islands,2006,Causes,Unemployment,Male,15-29,2,Financial issues
2911,A & N Islands,2006,Causes,Insanity/Mental Illness,Female,30-44,3,Sickness
2912,A & N Islands,2006,Causes,Other Causes (Please Specity),Female,30-44,5,Others Causes
2917,A & N Islands,2006,Causes,Other Prolonged Illness,Female,30-44,2,Sickness
2923,A & N Islands,2006,Causes,Insanity/Mental Illness,Male,30-44,4,Sickness
2924,A & N Islands,2006,Causes,Love Affairs,Male,30-44,1,Relation Troubles
2929,A & N Islands,2006,Causes,Other Prolonged Illness,Male,30-44,9,Sickness
2930,A & N Islands,2006,Causes,Other Causes (Please Specity),Male,30-44,20,Others Causes
2952,A & N Islands,2006,Causes,Other Prolonged Illness,Female,45-59,1,Sickness
2964,A & N Islands,2006,Causes,Insanity/Mental Illness,Female,45-59,2,Sickness
2984,A & N Islands,2006,Causes,Insanity/Mental Illness,Male,45-59,9,Sickness
2987,A & N Islands,2006,Causes,Death of Dear Person,Male,45-59,1,Relation Troubles
2995,A & N Islands,2006,Causes,Other Prolonged Illness,Male,45-59,7,Sickness
2996,A & N Islands,2006,Causes,Other Causes (Please Specity),Male,45-59,8,Others Causes
3019,A & N Islands,2006,Causes,Insanity/Mental Illness,Female,60+,1,Sickness
3024,A & N Islands,2006,Causes,Other Prolonged Illness,Female,60+,1,Sickness
3045,A & N Islands,2006,Causes,Other Causes (Please Specity),Male,60+,1,Others Causes
3046,A & N Islands,2006,Causes,Other Prolonged Illness,Male,60+,9,Sickness
3049,A & N Islands,2006,Causes,Insanity/Mental Illness,Male,60+,2,Sickness
3352,A & N Islands,2007,Causes,Failure in Examination,Female,0-14,2,Pressures of Society
3364,A & N Islands,2007,Causes,Love Affairs,Female,0-14,1,Relation Troubles
3367,A & N Islands,2007,Causes,Other Causes (Please Specity),Female,0-14,3,Others Causes
3408,A & N Islands,2007,Causes,Other Causes (Please Specity),Female,15-29,13,Others Causes
3410,A & N Islands,2007,Causes,Love Affairs,Female,15-29,4,Relation Troubles
3419,A & N Islands,2007,Causes,Failure in Examination,Female,15-29,5,Pressures of Society
3422,A & N Islands,2007,Causes,Insanity/Mental Illness,Female,15-29,3,Sickness
3424,A & N Islands,2007,Causes,Property Dispute,Female,15-29,1,Financial issues
3425,A & N Islands,2007,Causes,Other Prolonged Illness,Female,15-29,4,Sickness
3432,A & N Islands,2007,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,1,Relation Troubles
3434,A & N Islands,2007,Causes,Love Affairs,Male,15-29,3,Relation Troubles
3438,A & N Islands,2007,Causes,Failure in Examination,Male,15-29,2,Pressures of Society
3439,A & N Islands,2007,Causes,Insanity/Mental Illness,Male,15-29,3,Sickness
3440,A & N Islands,2007,Causes,Fall in Social Reputation,Male,15-29,2,Pressures of Society
3442,A & N Islands,2007,Causes,Other Causes (Please Specity),Male,15-29,16,Others Causes
3453,A & N Islands,2007,Causes,Unemployment,Male,15-29,3,Financial issues
3454,A & N Islands,2007,Causes,Other Prolonged Illness,Male,15-29,3,Sickness
3455,A & N Islands,2007,Causes,Causes Not known,Male,15-29,3,Causes Not known
3463,A & N Islands,2007,Causes,Love Affairs,Female,30-44,1,Relation Troubles
3474,A & N Islands,2007,Causes,Other Causes (Please Specity),Female,30-44,6,Others Causes
3476,A & N Islands,2007,Causes,Other Prolonged Illness,Female,30-44,2,Sickness
3480,A & N Islands,2007,Causes,Insanity/Mental Illness,Female,30-44,1,Sickness
3482,A & N Islands,2007,Causes,Other Prolonged Illness,Male,30-44,1,Sickness
3485,A & N Islands,2007,Causes,Poverty,Male,30-44,1,Financial issues
3487,A & N Islands,2007,Causes,Other Causes (Please Specity),Male,30-44,12,Others Causes
3497,A & N Islands,2007,Causes,Family Problems,Male,30-44,1,Relation Troubles
3500,A & N Islands,2007,Causes,Insanity/Mental Illness,Male,30-44,9,Sickness
3504,A & N Islands,2007,Causes,Cancellation/Non-Settlement of Marriage,Male,30-44,1,Relation Troubles
3505,A & N Islands,2007,Causes,Causes Not known,Male,30-44,1,Causes Not known
3523,A & N Islands,2007,Causes,Other Prolonged Illness,Female,45-59,2,Sickness
3529,A & N Islands,2007,Causes,Other Causes (Please Specity),Female,45-59,4,Others Causes
3530,A & N Islands,2007,Causes,Insanity/Mental Illness,Female,45-59,2,Sickness
3549,A & N Islands,2007,Causes,Other Causes (Please Specity),Male,45-59,12,Others Causes
3550,A & N Islands,2007,Causes,Poverty,Male,45-59,1,Financial issues
3555,A & N Islands,2007,Causes,Other Prolonged Illness,Male,45-59,5,Sickness
3556,A & N Islands,2007,Causes,Insanity/Mental Illness,Male,45-59,7,Sickness
3558,A & N Islands,2007,Causes,Family Problems,Male,45-59,2,Relation Troubles
3578,A & N Islands,2007,Causes,Other Prolonged Illness,Female,60+,2,Sickness
3588,A & N Islands,2007,Causes,Other Prolonged Illness,Male,60+,4,Sickness
3597,A & N Islands,2007,Causes,Other Causes (Please Specity),Male,60+,4,Others Causes
3600,A & N Islands,2007,Causes,Death of Dear Person,Male,60+,1,Relation Troubles
3602,A & N Islands,2007,Causes,Family Problems,Male,60+,1,Relation Troubles
3605,A & N Islands,2007,Causes,Insanity/Mental Illness,Male,60+,1,Sickness
3967,A & N Islands,2008,Causes,Other Prolonged Illness,Female,15-29,5,Sickness
3969,A & N Islands,2008,Causes,Causes Not known,Female,15-29,4,Causes Not known
3972,A & N Islands,2008,Causes,Other Causes (Please Specity),Female,15-29,10,Others Causes
3979,A & N Islands,2008,Causes,Love Affairs,Female,15-29,2,Relation Troubles
3986,A & N Islands,2008,Causes,Insanity/Mental Illness,Female,15-29,2,Sickness
3992,A & N Islands,2008,Causes,Insanity/Mental Illness,Male,15-29,3,Sickness
3993,A & N Islands,2008,Causes,Love Affairs,Male,15-29,5,Relation Troubles
3994,A & N Islands,2008,Causes,Suspected/Illicit Relation,Male,15-29,1,Relation Troubles
3996,A & N Islands,2008,Causes,Failure in Examination,Male,15-29,1,Pressures of Society
3997,A & N Islands,2008,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,1,Financial issues
4000,A & N Islands,2008,Causes,Other Causes (Please Specity),Male,15-29,9,Others Causes
4004,A & N Islands,2008,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,2,Relation Troubles
4005,A & N Islands,2008,Causes,Other Prolonged Illness,Male,15-29,3,Sickness
4010,A & N Islands,2008,Causes,Poverty,Male,15-29,1,Financial issues
4015,A & N Islands,2008,Causes,Causes Not known,Male,15-29,5,Causes Not known
4026,A & N Islands,2008,Causes,Causes Not known,Female,30-44,1,Causes Not known
4028,A & N Islands,2008,Causes,Suspected/Illicit Relation,Female,30-44,2,Relation Troubles
4032,A & N Islands,2008,Causes,Other Prolonged Illness,Female,30-44,4,Sickness
4040,A & N Islands,2008,Causes,Other Causes (Please Specity),Female,30-44,6,Others Causes
4051,A & N Islands,2008,Causes,Other Prolonged Illness,Male,30-44,6,Sickness
4054,A & N Islands,2008,Causes,Causes Not known,Male,30-44,7,Causes Not known
4057,A & N Islands,2008,Causes,Love Affairs,Male,30-44,2,Relation Troubles
4062,A & N Islands,2008,Causes,Insanity/Mental Illness,Male,30-44,7,Sickness
4063,A & N Islands,2008,Causes,Other Causes (Please Specity),Male,30-44,10,Others Causes
4088,A & N Islands,2008,Causes,Other Prolonged Illness,Female,45-59,2,Sickness
4089,A & N Islands,2008,Causes,Causes Not known,Female,45-59,1,Causes Not known
4090,A & N Islands,2008,Causes,Insanity/Mental Illness,Female,45-59,2,Sickness
4100,A & N Islands,2008,Causes,Causes Not known,Male,45-59,4,Causes Not known
4105,A & N Islands,2008,Causes,Poverty,Male,45-59,1,Financial issues
4107,A & N Islands,2008,Causes,Insanity/Mental Illness,Male,45-59,4,Sickness
4108,A & N Islands,2008,Causes,Other Causes (Please Specity),Male,45-59,3,Others Causes
4111,A & N Islands,2008,Causes,Suspected/Illicit Relation,Male,45-59,1,Relation Troubles
