,State,Year,Categories,Age_group,Total
138,Andaman and Nicobar,2007,Sickness,30-44,13
139,Andaman and Nicobar,2007,Sickness,45-59,16
140,Andaman and Nicobar,2007,Sickness,60+,7
141,Andaman and Nicobar,2008,Causes Not known,15-29,9
142,Andaman and Nicobar,2008,Causes Not known,30-44,8
143,Andaman and Nicobar,2008,Causes Not known,45-59,5
144,Andaman and Nicobar,2008,Causes Not known,60+,4
145,Andaman and Nicobar,2008,Financial issues,15-29,2
146,Andaman and Nicobar,2008,Financial issues,45-59,2
147,Andaman and Nicobar,2008,Financial issues,60+,1
148,Andaman and Nicobar,2008,Others Causes,15-29,19
149,Andaman and Nicobar,2008,Others Causes,30-44,16
150,Andaman and Nicobar,2008,Others Causes,45-59,3
151,Andaman and Nicobar,2008,Others Causes,60+,2
152,Andaman and Nicobar,2008,Pressures of Society,15-29,1
153,Andaman and Nicobar,2008,Relation Troubles,15-29,10
154,Andaman and Nicobar,2008,Relation Troubles,30-44,4
155,Andaman and Nicobar,2008,Relation Troubles,45-59,1
156,Andaman and Nicobar,2008,Sickness,15-29,13
157,Andaman and Nicobar,2008,Sickness,30-44,17
158,Andaman and Nicobar,2008,Sickness,45-59,15
159,Andaman and Nicobar,2008,Sickness,60+,11
160,Andaman and Nicobar,2009,Causes Not known,15-29,11
161,Andaman and Nicobar,2009,Causes Not known,30-44,10
162,Andaman and Nicobar,2009,Causes Not known,45-59,9
163,Andaman and Nicobar,2009,Causes Not known,60+,1
164,Andaman and Nicobar,2009,Others Causes,0-14,8
165,Andaman and Nicobar,2009,Others Causes,15-29,22
166,Andaman and Nicobar,2009,Others Causes,30-44,12
167,Andaman and Nicobar,2009,Others Causes,45-59,7
168,Andaman and Nicobar,2009,Pressures of Society,15-29,1
169,Andaman and Nicobar,2009,Relation Troubles,15-29,4
170,Andaman and Nicobar,2009,Relation Troubles,60+,1
171,Andaman and Nicobar,2009,Sickness,15-29,12
172,Andaman and Nicobar,2009,Sickness,30-44,15
173,Andaman and Nicobar,2009,Sickness,45-59,13
174,Andaman and Nicobar,2009,Sickness,60+,5
175,Andaman and Nicobar,2010,Causes Not known,15-29,9
176,Andaman and Nicobar,2010,Causes Not known,30-44,4
177,Andaman and Nicobar,2010,Causes Not known,45-59,5
178,Andaman and Nicobar,2010,Causes Not known,60+,3
179,Andaman and Nicobar,2010,Financial issues,15-29,5
180,Andaman and Nicobar,2010,Financial issues,30-44,2
181,Andaman and Nicobar,2010,Financial issues,45-59,1
182,Andaman and Nicobar,2010,Others Causes,0-14,4
183,Andaman and Nicobar,2010,Others Causes,15-29,25
184,Andaman and Nicobar,2010,Others Causes,30-44,19
185,Andaman and Nicobar,2010,Others Causes,45-59,8
186,Andaman and Nicobar,2010,Others Causes,60+,6
187,Andaman and Nicobar,2010,Relation Troubles,15-29,8
188,Andaman and Nicobar,2010,Relation Troubles,30-44,3
189,Andaman and Nicobar,2010,Relation Troubles,60+,2
190,Andaman and Nicobar,2010,Sickness,15-29,20
191,Andaman and Nicobar,2010,Sickness,30-44,16
192,Andaman and Nicobar,2010,Sickness,45-59,6
193,Andaman and Nicobar,2010,Sickness,60+,10
194,Andaman and Nicobar,2011,Causes Not known,0-14,2
195,Andaman and Nicobar,2011,Causes Not known,15-29,12
196,Andaman and Nicobar,2011,Causes Not known,30-44,14
197,Andaman and Nicobar,2011,Causes Not known,45-59,9
198,Andaman and Nicobar,2011,Causes Not known,60+,2
199,Andaman and Nicobar,2011,Financial issues,15-29,2
200,Andaman and Nicobar,2011,Financial issues,30-44,1
201,Andaman and Nicobar,2011,Others Causes,0-14,3
202,Andaman and Nicobar,2011,Others Causes,15-29,10
203,Andaman and Nicobar,2011,Others Causes,30-44,12
204,Andaman and Nicobar,2011,Others Causes,45-59,3
205,Andaman and Nicobar,2011,Others Causes,60+,3
206,Andaman and Nicobar,2011,Pressures of Society,15-29,3
207,Andaman and Nicobar,2011,Relation Troubles,15-29,10
208,Andaman and Nicobar,2011,Relation Troubles,30-44,4
209,Andaman and Nicobar,2011,Relation Troubles,45-59,1
210,Andaman and Nicobar,2011,Relation Troubles,60+,1
211,Andaman and Nicobar,2011,Sickness,15-29,10
212,Andaman and Nicobar,2011,Sickness,30-44,15
213,Andaman and Nicobar,2011,Sickness,45-59,13
214,Andaman and Nicobar,2011,Sickness,60+,6
215,Andaman and Nicobar,2012,Causes Not known,0-14,1
216,Andaman and Nicobar,2012,Causes Not known,15-29,7
217,Andaman and Nicobar,2012,Causes Not known,30-44,9
218,Andaman and Nicobar,2012,Causes Not known,45-59,3
219,Andaman and Nicobar,2012,Causes Not known,60+,1
220,Andaman and Nicobar,2012,Financial issues,15-29,5
221,Andaman and Nicobar,2012,Others Causes,0-14,2
222,Andaman and Nicobar,2012,Others Causes,15-29,14
223,Andaman and Nicobar,2012,Others Causes,30-44,11
224,Andaman and Nicobar,2012,Others Causes,45-59,9
225,Andaman and Nicobar,2012,Others Causes,60+,3
226,Andaman and Nicobar,2012,Relation Troubles,15-29,5
227,Andaman and Nicobar,2012,Relation Troubles,30-44,1
228,Andaman and Nicobar,2012,Sickness,15-29,12
229,Andaman and Nicobar,2012,Sickness,30-44,17
230,Andaman and Nicobar,2012,Sickness,45-59,11
231,Andaman and Nicobar,2012,Sickness,60+,10
232,Andhra Pradesh,2001,Causes Not known,0-14,52
233,Andhra Pradesh,2001,Causes Not known,15-29,389
234,Andhra Pradesh,2001,Causes Not known,30-44,347
235,Andhra Pradesh,2001,Causes Not known,45-59,168
236,Andhra Pradesh,2001,Causes Not known,60+,62
237,Andhra Pradesh,2001,Drug Abuse/Addiction,0-14,1
238,Andhra Pradesh,2001,Drug Abuse/Addiction,15-29,4
239,Andhra Pradesh,2001,Drug Abuse/Addiction,30-44,9
240,Andhra Pradesh,2001,Drug Abuse/Addiction,45-59,10
241,Andhra Pradesh,2001,Drug Abuse/Addiction,60+,1
242,Andhra Pradesh,2001,Financial issues,0-14,16
243,Andhra Pradesh,2001,Financial issues,15-29,273
244,Andhra Pradesh,2001,Financial issues,30-44,324
245,Andhra Pradesh,2001,Financial issues,45-59,202
246,Andhra Pradesh,2001,Financial issues,60+,49
247,Andhra Pradesh,2001,Others Causes,0-14,115
248,Andhra Pradesh,2001,Others Causes,15-29,476
249,Andhra Pradesh,2001,Others Causes,30-44,435
250,Andhra Pradesh,2001,Others Causes,45-59,369
251,Andhra Pradesh,2001,Others Causes,60+,65
252,Andhra Pradesh,2001,Physical Abuse (Rape/Incest Etc.),0-14,5
253,Andhra Pradesh,2001,Physical Abuse (Rape/Incest Etc.),15-29,39
254,Andhra Pradesh,2001,Physical Abuse (Rape/Incest Etc.),30-44,11
255,Andhra Pradesh,2001,Physical Abuse (Rape/Incest Etc.),60+,1
256,Andhra Pradesh,2001,Pressures of Society,0-14,19
257,Andhra Pradesh,2001,Pressures of Society,15-29,174
258,Andhra Pradesh,2001,Pressures of Society,30-44,34
259,Andhra Pradesh,2001,Pressures of Society,45-59,33
260,Andhra Pradesh,2001,Pressures of Society,60+,8
261,Andhra Pradesh,2001,Relation Troubles,0-14,47
262,Andhra Pradesh,2001,Relation Troubles,15-29,1440
263,Andhra Pradesh,2001,Relation Troubles,30-44,1008
264,Andhra Pradesh,2001,Relation Troubles,45-59,440
265,Andhra Pradesh,2001,Relation Troubles,60+,73
266,Andhra Pradesh,2001,Sickness,0-14,103
267,Andhra Pradesh,2001,Sickness,15-29,1134
268,Andhra Pradesh,2001,Sickness,30-44,1243
269,Andhra Pradesh,2001,Sickness,45-59,1041
270,Andhra Pradesh,2001,Sickness,60+,302
271,Andhra Pradesh,2002,Causes Not known,0-14,27
272,Andhra Pradesh,2002,Causes Not known,15-29,332
273,Andhra Pradesh,2002,Causes Not known,30-44,310
274,Andhra Pradesh,2002,Causes Not known,45-59,175
275,Andhra Pradesh,2002,Causes Not known,60+,63
276,Andhra Pradesh,2002,Drug Abuse/Addiction,15-29,4
277,Andhra Pradesh,2002,Drug Abuse/Addiction,30-44,8
278,Andhra Pradesh,2002,Drug Abuse/Addiction,45-59,7
279,Andhra Pradesh,2002,Financial issues,0-14,10
280,Andhra Pradesh,2002,Financial issues,15-29,255
281,Andhra Pradesh,2002,Financial issues,30-44,424
282,Andhra Pradesh,2002,Financial issues,45-59,278
283,Andhra Pradesh,2002,Financial issues,60+,74
284,Andhra Pradesh,2002,Others Causes,0-14,61
285,Andhra Pradesh,2002,Others Causes,15-29,692
286,Andhra Pradesh,2002,Others Causes,30-44,867
287,Andhra Pradesh,2002,Others Causes,45-59,310
288,Andhra Pradesh,2002,Others Causes,60+,104
289,Andhra Pradesh,2002,Physical Abuse (Rape/Incest Etc.),0-14,1
290,Andhra Pradesh,2002,Physical Abuse (Rape/Incest Etc.),15-29,15
291,Andhra Pradesh,2002,Physical Abuse (Rape/Incest Etc.),30-44,10
292,Andhra Pradesh,2002,Physical Abuse (Rape/Incest Etc.),45-59,4
293,Andhra Pradesh,2002,Pressures of Society,0-14,26
294,Andhra Pradesh,2002,Pressures of Society,15-29,243
295,Andhra Pradesh,2002,Pressures of Society,30-44,29
296,Andhra Pradesh,2002,Pressures of Society,45-59,8
297,Andhra Pradesh,2002,Pressures of Society,60+,1
298,Andhra Pradesh,2002,Relation Troubles,0-14,56
299,Andhra Pradesh,2002,Relation Troubles,15-29,1304
300,Andhra Pradesh,2002,Relation Troubles,30-44,1046
301,Andhra Pradesh,2002,Relation Troubles,45-59,499
302,Andhra Pradesh,2002,Relation Troubles,60+,100
303,Andhra Pradesh,2002,Sickness,0-14,59
304,Andhra Pradesh,2002,Sickness,15-29,1132
305,Andhra Pradesh,2002,Sickness,30-44,1511
306,Andhra Pradesh,2002,Sickness,45-59,1226
307,Andhra Pradesh,2002,Sickness,60+,422
308,Andhra Pradesh,2003,Causes Not known,0-14,54
309,Andhra Pradesh,2003,Causes Not known,15-29,292
310,Andhra Pradesh,2003,Causes Not known,30-44,260
311,Andhra Pradesh,2003,Causes Not known,45-59,149
312,Andhra Pradesh,2003,Causes Not known,60+,59
313,Andhra Pradesh,2003,Drug Abuse/Addiction,15-29,3
314,Andhra Pradesh,2003,Drug Abuse/Addiction,30-44,18
315,Andhra Pradesh,2003,Drug Abuse/Addiction,45-59,9
316,Andhra Pradesh,2003,Drug Abuse/Addiction,60+,1
317,Andhra Pradesh,2003,Financial issues,0-14,20
318,Andhra Pradesh,2003,Financial issues,15-29,306
319,Andhra Pradesh,2003,Financial issues,30-44,583
320,Andhra Pradesh,2003,Financial issues,45-59,304
321,Andhra Pradesh,2003,Financial issues,60+,54
322,Andhra Pradesh,2003,Others Causes,0-14,60
323,Andhra Pradesh,2003,Others Causes,15-29,597
324,Andhra Pradesh,2003,Others Causes,30-44,576
325,Andhra Pradesh,2003,Others Causes,45-59,346
326,Andhra Pradesh,2003,Others Causes,60+,112
327,Andhra Pradesh,2003,Physical Abuse (Rape/Incest Etc.),0-14,3
328,Andhra Pradesh,2003,Physical Abuse (Rape/Incest Etc.),15-29,18
329,Andhra Pradesh,2003,Physical Abuse (Rape/Incest Etc.),30-44,29
330,Andhra Pradesh,2003,Pressures of Society,0-14,45
331,Andhra Pradesh,2003,Pressures of Society,15-29,230
332,Andhra Pradesh,2003,Pressures of Society,30-44,95
333,Andhra Pradesh,2003,Pressures of Society,45-59,43
334,Andhra Pradesh,2003,Pressures of Society,60+,11
335,Andhra Pradesh,2003,Relation Troubles,0-14,84
336,Andhra Pradesh,2003,Relation Troubles,15-29,1390
337,Andhra Pradesh,2003,Relation Troubles,30-44,1169
338,Andhra Pradesh,2003,Relation Troubles,45-59,521
339,Andhra Pradesh,2003,Relation Troubles,60+,118
340,Andhra Pradesh,2003,Sickness,0-14,86
341,Andhra Pradesh,2003,Sickness,15-29,1119
342,Andhra Pradesh,2003,Sickness,30-44,1320
343,Andhra Pradesh,2003,Sickness,45-59,982
344,Andhra Pradesh,2003,Sickness,60+,343
345,Andhra Pradesh,2004,Causes Not known,0-14,20
346,Andhra Pradesh,2004,Causes Not known,15-29,294
347,Andhra Pradesh,2004,Causes Not known,30-44,324
348,Andhra Pradesh,2004,Causes Not known,45-59,214
349,Andhra Pradesh,2004,Causes Not known,60+,124
350,Andhra Pradesh,2004,Drug Abuse/Addiction,15-29,19
351,Andhra Pradesh,2004,Drug Abuse/Addiction,30-44,20
352,Andhra Pradesh,2004,Drug Abuse/Addiction,45-59,12
353,Andhra Pradesh,2004,Drug Abuse/Addiction,60+,1
354,Andhra Pradesh,2004,Financial issues,0-14,8
355,Andhra Pradesh,2004,Financial issues,15-29,550
356,Andhra Pradesh,2004,Financial issues,30-44,1070
357,Andhra Pradesh,2004,Financial issues,45-59,789
358,Andhra Pradesh,2004,Financial issues,60+,201
359,Andhra Pradesh,2004,Others Causes,0-14,75
360,Andhra Pradesh,2004,Others Causes,15-29,672
361,Andhra Pradesh,2004,Others Causes,30-44,753
362,Andhra Pradesh,2004,Others Causes,45-59,466
363,Andhra Pradesh,2004,Others Causes,60+,262
364,Andhra Pradesh,2004,Physical Abuse (Rape/Incest Etc.),15-29,7
365,Andhra Pradesh,2004,Physical Abuse (Rape/Incest Etc.),30-44,14
366,Andhra Pradesh,2004,Physical Abuse (Rape/Incest Etc.),45-59,2
367,Andhra Pradesh,2004,Pressures of Society,0-14,26
368,Andhra Pradesh,2004,Pressures of Society,15-29,153
369,Andhra Pradesh,2004,Pressures of Society,30-44,51
370,Andhra Pradesh,2004,Pressures of Society,45-59,13
371,Andhra Pradesh,2004,Pressures of Society,60+,7
372,Andhra Pradesh,2004,Relation Troubles,0-14,56
373,Andhra Pradesh,2004,Relation Troubles,15-29,1588
374,Andhra Pradesh,2004,Relation Troubles,30-44,1179
375,Andhra Pradesh,2004,Relation Troubles,45-59,543
376,Andhra Pradesh,2004,Relation Troubles,60+,132
377,Andhra Pradesh,2004,Sickness,0-14,52
378,Andhra Pradesh,2004,Sickness,15-29,1238
379,Andhra Pradesh,2004,Sickness,30-44,1381
380,Andhra Pradesh,2004,Sickness,45-59,825
381,Andhra Pradesh,2004,Sickness,60+,385
382,Andhra Pradesh,2005,Causes Not known,0-14,30
383,Andhra Pradesh,2005,Causes Not known,15-29,262
384,Andhra Pradesh,2005,Causes Not known,30-44,267
385,Andhra Pradesh,2005,Causes Not known,45-59,166
386,Andhra Pradesh,2005,Causes Not known,60+,106
387,Andhra Pradesh,2005,Drug Abuse/Addiction,15-29,3
388,Andhra Pradesh,2005,Drug Abuse/Addiction,30-44,10
389,Andhra Pradesh,2005,Drug Abuse/Addiction,45-59,6
390,Andhra Pradesh,2005,Financial issues,0-14,14
391,Andhra Pradesh,2005,Financial issues,15-29,508
392,Andhra Pradesh,2005,Financial issues,30-44,897
393,Andhra Pradesh,2005,Financial issues,45-59,659
394,Andhra Pradesh,2005,Financial issues,60+,205
395,Andhra Pradesh,2005,Others Causes,0-14,87
396,Andhra Pradesh,2005,Others Causes,15-29,715
397,Andhra Pradesh,2005,Others Causes,30-44,910
398,Andhra Pradesh,2005,Others Causes,45-59,468
399,Andhra Pradesh,2005,Others Causes,60+,220
400,Andhra Pradesh,2005,Physical Abuse (Rape/Incest Etc.),0-14,1
401,Andhra Pradesh,2005,Physical Abuse (Rape/Incest Etc.),15-29,2
402,Andhra Pradesh,2005,Physical Abuse (Rape/Incest Etc.),45-59,2
403,Andhra Pradesh,2005,Pressures of Society,0-14,17
404,Andhra Pradesh,2005,Pressures of Society,15-29,209
405,Andhra Pradesh,2005,Pressures of Society,30-44,29
406,Andhra Pradesh,2005,Pressures of Society,45-59,27
407,Andhra Pradesh,2005,Pressures of Society,60+,4
408,Andhra Pradesh,2005,Relation Troubles,0-14,73
409,Andhra Pradesh,2005,Relation Troubles,15-29,1400
410,Andhra Pradesh,2005,Relation Troubles,30-44,1117
411,Andhra Pradesh,2005,Relation Troubles,45-59,556
412,Andhra Pradesh,2005,Relation Troubles,60+,224
413,Andhra Pradesh,2005,Sickness,0-14,82
414,Andhra Pradesh,2005,Sickness,15-29,1249
415,Andhra Pradesh,2005,Sickness,30-44,1308
416,Andhra Pradesh,2005,Sickness,45-59,1005
417,Andhra Pradesh,2005,Sickness,60+,604
418,Andhra Pradesh,2006,Causes Not known,0-14,22
419,Andhra Pradesh,2006,Causes Not known,15-29,278
420,Andhra Pradesh,2006,Causes Not known,30-44,315
421,Andhra Pradesh,2006,Causes Not known,45-59,206
422,Andhra Pradesh,2006,Causes Not known,60+,92
423,Andhra Pradesh,2006,Drug Abuse/Addiction,15-29,11
424,Andhra Pradesh,2006,Drug Abuse/Addiction,30-44,15
425,Andhra Pradesh,2006,Drug Abuse/Addiction,45-59,9
426,Andhra Pradesh,2006,Drug Abuse/Addiction,60+,7
427,Andhra Pradesh,2006,Financial issues,0-14,32
428,Andhra Pradesh,2006,Financial issues,15-29,503
429,Andhra Pradesh,2006,Financial issues,30-44,1009
430,Andhra Pradesh,2006,Financial issues,45-59,650
431,Andhra Pradesh,2006,Financial issues,60+,155
432,Andhra Pradesh,2006,Others Causes,0-14,100
433,Andhra Pradesh,2006,Others Causes,15-29,676
434,Andhra Pradesh,2006,Others Causes,30-44,787
435,Andhra Pradesh,2006,Others Causes,45-59,444
436,Andhra Pradesh,2006,Others Causes,60+,166
437,Andhra Pradesh,2006,Physical Abuse (Rape/Incest Etc.),15-29,3
438,Andhra Pradesh,2006,Physical Abuse (Rape/Incest Etc.),30-44,4
439,Andhra Pradesh,2006,Physical Abuse (Rape/Incest Etc.),45-59,2
440,Andhra Pradesh,2006,Pressures of Society,0-14,23
441,Andhra Pradesh,2006,Pressures of Society,15-29,200
442,Andhra Pradesh,2006,Pressures of Society,30-44,33
443,Andhra Pradesh,2006,Pressures of Society,45-59,11
444,Andhra Pradesh,2006,Pressures of Society,60+,2
445,Andhra Pradesh,2006,Relation Troubles,0-14,58
446,Andhra Pradesh,2006,Relation Troubles,15-29,1569
447,Andhra Pradesh,2006,Relation Troubles,30-44,1085
448,Andhra Pradesh,2006,Relation Troubles,45-59,481
449,Andhra Pradesh,2006,Relation Troubles,60+,118
450,Andhra Pradesh,2006,Sickness,0-14,129
451,Andhra Pradesh,2006,Sickness,15-29,1443
452,Andhra Pradesh,2006,Sickness,30-44,1387
453,Andhra Pradesh,2006,Sickness,45-59,812
454,Andhra Pradesh,2006,Sickness,60+,439
455,Andhra Pradesh,2007,Causes Not known,0-14,23
456,Andhra Pradesh,2007,Causes Not known,15-29,420
457,Andhra Pradesh,2007,Causes Not known,30-44,391
458,Andhra Pradesh,2007,Causes Not known,45-59,281
459,Andhra Pradesh,2007,Causes Not known,60+,134
460,Andhra Pradesh,2007,Drug Abuse/Addiction,15-29,9
461,Andhra Pradesh,2007,Drug Abuse/Addiction,30-44,22
462,Andhra Pradesh,2007,Drug Abuse/Addiction,45-59,8
463,Andhra Pradesh,2007,Drug Abuse/Addiction,60+,6
464,Andhra Pradesh,2007,Financial issues,0-14,21
465,Andhra Pradesh,2007,Financial issues,15-29,576
466,Andhra Pradesh,2007,Financial issues,30-44,1092
467,Andhra Pradesh,2007,Financial issues,45-59,700
468,Andhra Pradesh,2007,Financial issues,60+,254
469,Andhra Pradesh,2007,Others Causes,0-14,67
470,Andhra Pradesh,2007,Others Causes,15-29,870
471,Andhra Pradesh,2007,Others Causes,30-44,906
472,Andhra Pradesh,2007,Others Causes,45-59,579
473,Andhra Pradesh,2007,Others Causes,60+,185
474,Andhra Pradesh,2007,Physical Abuse (Rape/Incest Etc.),0-14,2
475,Andhra Pradesh,2007,Physical Abuse (Rape/Incest Etc.),15-29,9
476,Andhra Pradesh,2007,Physical Abuse (Rape/Incest Etc.),30-44,2
477,Andhra Pradesh,2007,Pressures of Society,0-14,35
478,Andhra Pradesh,2007,Pressures of Society,15-29,187
479,Andhra Pradesh,2007,Pressures of Society,30-44,39
480,Andhra Pradesh,2007,Pressures of Society,45-59,13
481,Andhra Pradesh,2007,Pressures of Society,60+,2
